elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/5/2024,"ADAIR","ADAIR COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,1,"CHASE OLIVER | MIKE TER MAAT",LIB,0,4,16,20,,
11/5/2024,"ADAIR","ADAIR COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,2,"DONALD J. TRUMP | JD VANCE",REP,103,985,4772,5860,,
11/5/2024,"ADAIR","ADAIR COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,3,"KAMALA D. HARRIS | TIM WALZ",DEM,64,251,974,1289,,
11/5/2024,"ADAIR","ADAIR COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,0,7,55,62,,
11/5/2024,"ADAIR","ADAIR COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,5,"CHRIS GARRITY | CODY BALLARD",IND,3,2,20,25,,
11/5/2024,"ADAIR","ADAIR COUNTY",10002,"FOR CORPORATION COMMISSIONER",,17,17,1,"CHAD WILLIAMS",LIB,9,84,419,512,,
11/5/2024,"ADAIR","ADAIR COUNTY",10002,"FOR CORPORATION COMMISSIONER",,17,17,2,"J. BRIAN BINGMAN",REP,94,902,4221,5217,,
11/5/2024,"ADAIR","ADAIR COUNTY",10002,"FOR CORPORATION COMMISSIONER",,17,17,3,"HAROLD D SPRADLING",DEM,59,243,1088,1390,,
11/5/2024,"ADAIR","ADAIR COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,1,"JOSH BRECHEEN",REP,94,936,4355,5385,,
11/5/2024,"ADAIR","ADAIR COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,2,"BRANDON WADE",DEM,59,239,1101,1399,,
11/5/2024,"ADAIR","ADAIR COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,17,17,3,"RONNIE HOPKINS",IND,10,55,283,348,,
11/5/2024,"ADAIR","ADAIR COUNTY",10119,"FOR STATE REPRESENTATIVE DISTRICT 86",,17,17,1,"DAVID HARDIN",REP,111,994,4722,5827,,
11/5/2024,"ADAIR","ADAIR COUNTY",10119,"FOR STATE REPRESENTATIVE DISTRICT 86",,17,17,2,"ANNE FITE",DEM,55,249,1059,1363,,
11/5/2024,"ADAIR","ADAIR COUNTY",10364,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,6,6,1,"ALAN STARR",REP,37,311,1244,1592,ADAIR
11/5/2024,"ADAIR","ADAIR COUNTY",10364,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,6,6,2,"JACK W CARLTON",DEM,17,139,522,678,ADAIR
11/5/2024,"ADAIR","ADAIR COUNTY",20003,"SUPREME COURT DISTRICT 3",,17,17,1,"YES",,72,520,2399,2991,,
11/5/2024,"ADAIR","ADAIR COUNTY",20003,"SUPREME COURT DISTRICT 3",,17,17,2,"NO",,77,635,2963,3675,,
11/5/2024,"ADAIR","ADAIR COUNTY",20004,"SUPREME COURT DISTRICT 4",,17,17,1,"YES",,70,498,2366,2934,,
11/5/2024,"ADAIR","ADAIR COUNTY",20004,"SUPREME COURT DISTRICT 4",,17,17,2,"NO",,78,656,2989,3723,,
11/5/2024,"ADAIR","ADAIR COUNTY",20007,"SUPREME COURT DISTRICT 7",,17,17,1,"YES",,76,551,2534,3161,,
11/5/2024,"ADAIR","ADAIR COUNTY",20007,"SUPREME COURT DISTRICT 7",,17,17,2,"NO",,72,608,2821,3501,,
11/5/2024,"ADAIR","ADAIR COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,17,17,1,"YES",,83,696,3207,3986,,
11/5/2024,"ADAIR","ADAIR COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,17,17,2,"NO",,58,429,2016,2503,,
11/5/2024,"ADAIR","ADAIR COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,17,17,1,"YES",,87,681,3107,3875,,
11/5/2024,"ADAIR","ADAIR COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,17,17,2,"NO",,53,442,2098,2593,,
11/5/2024,"ADAIR","ADAIR COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,17,17,1,"YES",,88,617,2825,3530,,
11/5/2024,"ADAIR","ADAIR COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,17,17,2,"NO",,53,502,2373,2928,,
11/5/2024,"ADAIR","ADAIR COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,17,17,1,"YES",,79,689,3199,3967,,
11/5/2024,"ADAIR","ADAIR COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,17,17,2,"NO",,61,433,2000,2494,,
11/5/2024,"ADAIR","ADAIR COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,17,17,1,"YES",,85,697,3267,4049,,
11/5/2024,"ADAIR","ADAIR COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,17,17,2,"NO",,54,421,1915,2390,,
11/5/2024,"ADAIR","ADAIR COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,17,17,1,"YES",,80,676,3178,3934,,
11/5/2024,"ADAIR","ADAIR COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,17,17,2,"NO",,60,442,1999,2501,,
11/5/2024,"ADAIR","ADAIR COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,17,17,1,"YES",,85,597,2766,3448,,
11/5/2024,"ADAIR","ADAIR COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,17,17,2,"NO",,53,503,2343,2899,,
11/5/2024,"ADAIR","ADAIR COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,17,17,1,"YES",,86,599,2683,3368,,
11/5/2024,"ADAIR","ADAIR COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,17,17,2,"NO",,48,444,2125,2617,,
11/5/2024,"ADAIR","ADAIR COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,17,17,1,"YES",,85,572,2576,3233,,
11/5/2024,"ADAIR","ADAIR COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,17,17,2,"NO",,48,467,2225,2740,,
11/5/2024,"ADAIR","ADAIR COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,17,17,1,"FOR THE PROPOSAL - YES",,53,434,1900,2387,,
11/5/2024,"ADAIR","ADAIR COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,17,17,2,"AGAINST THE PROPOSAL - NO",,92,735,3461,4288,,
11/5/2024,"ADAIR","ADAIR COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,17,17,1,"FOR THE PROPOSAL - YES",,128,1036,4849,6013,,
11/5/2024,"ADAIR","ADAIR COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,17,17,2,"AGAINST THE PROPOSAL - NO",,27,169,669,865,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,1,"CHASE OLIVER | MIKE TER MAAT",LIB,0,0,6,6,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,2,"DONALD J. TRUMP | JD VANCE",REP,49,357,1485,1891,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,3,"KAMALA D. HARRIS | TIM WALZ",DEM,12,50,174,236,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,0,5,18,23,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,8,8,5,"CHRIS GARRITY | CODY BALLARD",IND,0,0,4,4,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,8,8,1,"CHAD WILLIAMS",LIB,4,24,121,149,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,8,8,2,"J. BRIAN BINGMAN",REP,43,330,1369,1742,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,8,8,3,"HAROLD D SPRADLING",DEM,14,50,165,229,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20003,"SUPREME COURT DISTRICT 3",,8,8,1,"YES",,17,146,648,811,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20003,"SUPREME COURT DISTRICT 3",,8,8,2,"NO",,29,251,964,1244,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20004,"SUPREME COURT DISTRICT 4",,8,8,1,"YES",,21,143,644,808,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20004,"SUPREME COURT DISTRICT 4",,8,8,2,"NO",,26,252,965,1243,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20007,"SUPREME COURT DISTRICT 7",,8,8,1,"YES",,17,147,679,843,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20007,"SUPREME COURT DISTRICT 7",,8,8,2,"NO",,29,249,928,1206,,
